order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
e481f51cbdc54678b7cc49136f2d6af7,d962481ccf3e97521018974422943966,delivered,10/2/2017 10:56,10/2/2017 11:07,10/4/2017 19:55,10/10/2017 21:25,10/18/2017 00:00
6514b8ad8028c9f2cc2374ded245783f,d962481ccf3e97521018974422943966,delivered,5/16/2017 13:10,5/16/2017 13:22,5/22/2017 10:07,5/26/2017 12:55,6/7/2017 00:00
e6ce16cb79ec1d90b1da9085a6118aeb,d962481ccf3e97521018974422943966,delivered,5/16/2017 19:41,5/16/2017 19:50,5/18/2017 11:40,5/29/2017 11:18,6/7/2017 00:00
e6ce16cb79ec1d90b1da9085a6118aeb,d962481ccf3e97521018974422943966,delivered,5/16/2017 19:41,5/16/2017 19:50,5/18/2017 11:40,5/29/2017 11:18,6/7/2017 00:00
82566a660a982b15fb86e904c8d32918,d962481ccf3e97521018974422943966,delivered,6/7/2018 10:06,6/9/2018 03:13,6/11/2018 13:29,6/19/2018 12:05,7/18/2018 00:00
5ff96c15d0b717ac6ad1f3d77225a350,d962481ccf3e97521018974422943966,delivered,7/25/2018 17:44,7/25/2018 17:55,7/26/2018 13:16,7/30/2018 15:52,8/8/2018 00:00
432aaf21d85167c2c86ec9448c4e42cc,d962481ccf3e97521018974422943966,delivered,3/1/2018 14:14,3/1/2018 15:10,3/2/2018 21:09,3/12/2018 23:36,3/21/2018 00:00
85ce859fd6dc634de8d2f1e290444043,d962481ccf3e97521018974422943966,delivered,11/21/2017 00:03,11/21/2017 00:14,11/23/2017 21:32,11/27/2017 18:28,12/11/2017 00:00
203096f03d82e0dffbc41ebc2e2bcfb7,d962481ccf3e97521018974422943966,delivered,9/18/2017 14:31,9/19/2017 04:04,10/6/2017 17:50,10/9/2017 22:23,9/28/2017 00:00
95266dbfb7e20354baba07964dac78d5,d962481ccf3e97521018974422943966,delivered,1/8/2018 07:55,1/8/2018 08:07,1/24/2018 23:16,1/26/2018 17:32,2/21/2018 00:00
d887b52c6516beb39e8cd44a5f8b60f7,d962481ccf3e97521018974422943966,delivered,2/3/2018 12:38,2/3/2018 12:50,2/5/2018 21:26,2/22/2018 00:07,3/7/2018 00:00
7206b86ea789983f7a273ea7fa0bc2a8,d962481ccf3e97521018974422943966,delivered,3/26/2018 17:12,3/26/2018 17:28,3/28/2018 17:22,4/5/2018 22:11,4/12/2018 00:00
6ea2f835b4556291ffdc53fa0b3b95e8,d962481ccf3e97521018974422943966,delivered,11/24/2017 21:27,11/25/2017 00:21,12/13/2017 21:14,12/28/2017 18:59,12/21/2017 00:00
948097deef559c742e7ce321e5e58919,d962481ccf3e97521018974422943966,delivered,8/4/2017 17:10,8/4/2017 17:25,8/7/2017 17:52,8/12/2017 14:08,9/1/2017 00:00
47aa4816b27ba60ec948cd019cc1afc1,d962481ccf3e97521018974422943966,delivered,6/26/2018 13:42,6/27/2018 08:35,6/27/2018 13:20,7/3/2018 18:37,7/20/2018 00:00
e425680f760cbc130be3e53a9773c584,d962481ccf3e97521018974422943966,delivered,8/31/2017 08:15,8/31/2017 08:30,8/31/2017 20:06,9/4/2017 20:59,9/20/2017 00:00
b65a9099b9f6617410e0f5fb0b9e1fdc,d962481ccf3e97521018974422943966,delivered,3/9/2017 19:12,3/9/2017 19:12,3/10/2017 09:27,3/14/2017 11:48,3/31/2017 00:00
7ab7584d518d5220c4d8f5245c28181e,d962481ccf3e97521018974422943966,delivered,6/11/2017 13:57,6/13/2017 04:10,6/14/2017 13:08,6/26/2017 09:27,7/5/2017 00:00
c9dbbf55ed1dfc04a2f9339a0887d765,d962481ccf3e97521018974422943966,delivered,4/4/2018 14:14,4/5/2018 02:27,4/6/2018 23:44,4/12/2018 17:05,4/27/2018 00:00
3ee995f2432d1efdb2369e87acc095d2,d962481ccf3e97521018974422943966,delivered,5/19/2017 15:03,5/19/2017 15:10,5/22/2017 07:22,5/31/2017 11:25,6/12/2017 00:00
3a55ce70e083a313526038fabb9b626f,d962481ccf3e97521018974422943966,delivered,9/22/2017 19:54,9/26/2017 04:14,9/26/2017 21:22,10/3/2017 19:28,10/18/2017 00:00
d40956f82498404a78bdefbed0d005b1,d962481ccf3e97521018974422943966,delivered,4/26/2018 22:31,4/26/2018 22:51,4/27/2018 10:15,5/5/2018 17:03,5/16/2018 00:00
d40956f82498404a78bdefbed0d005b1,d962481ccf3e97521018974422943966,delivered,4/26/2018 22:31,4/26/2018 22:51,4/27/2018 10:15,5/5/2018 17:03,5/16/2018 00:00
56a726fa0f40d3678696e62aaed9690d,d962481ccf3e97521018974422943966,delivered,1/25/2017 00:46,1/25/2017 01:02,1/27/2017 10:51,1/31/2017 17:43,3/2/2017 00:00
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,7/24/2018 20:41,7/26/2018 03:24,7/26/2018 14:31,8/7/2018 15:27,8/13/2018 00:00
83018ec114eee8641c97e08f7b4e926f,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,10/26/2017 15:54,10/26/2017 16:08,10/26/2017 21:46,11/8/2017 22:22,11/23/2017 00:00
ecab90c9933c58908d3d6add7c6f5ae3,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2/25/2018 13:50,2/25/2018 14:47,2/26/2018 22:28,3/27/2018 23:29,4/13/2018 00:00
1790eea0b567cf50911c057cf20f90f9,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,4/16/2018 21:15,4/16/2018 22:10,4/18/2018 13:05,5/5/2018 12:28,5/15/2018 00:00
6ebaec694d7025e2ad4a05dba887c032,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,5/18/2017 13:55,5/18/2017 14:05,5/19/2017 12:01,5/29/2017 12:47,6/9/2017 00:00
d17dc4a904426827ca80f2ccb3a6be56,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,5/14/2017 20:28,5/14/2017 20:42,5/16/2017 08:17,5/25/2017 09:14,6/12/2017 00:00
2ce1ad82022c1ba30c2079502ac725aa,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,8/9/2017 20:19,8/11/2017 04:15,8/11/2017 17:52,8/16/2017 17:16,8/31/2017 00:00
a685d016c8a26f71a0bb67821070e398,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,3/13/2017 18:14,3/13/2017 18:14,3/22/2017 14:03,4/6/2017 13:37,3/30/2017 00:00
8f06cc6465925031568537b815f1198d,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,11/15/2017 11:31,11/15/2017 11:46,11/16/2017 22:03,11/22/2017 22:41,12/5/2017 00:00
ccbabeb0b02433bd0fcbac46e70339f2,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2/19/2018 20:31,2/21/2018 06:15,2/22/2018 21:04,3/9/2018 22:22,3/13/2018 00:00
686541986ecfb7d9296eb67719973bf0,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,2/10/2018 13:26,2/10/2018 13:35,2/14/2018 20:47,2/20/2018 22:13,3/12/2018 00:00
68e48e68da1f50f7c5838ea75e3a20dd,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,6/18/2018 16:02,6/18/2018 17:00,6/19/2018 15:55,6/22/2018 21:18,7/13/2018 00:00
68e48e68da1f50f7c5838ea75e3a20dd,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,6/18/2018 16:02,6/18/2018 17:00,6/19/2018 15:55,6/22/2018 21:18,7/13/2018 00:00
68e48e68da1f50f7c5838ea75e3a20dd,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,6/18/2018 16:02,6/18/2018 17:00,6/19/2018 15:55,6/22/2018 21:18,7/13/2018 00:00
68e48e68da1f50f7c5838ea75e3a20dd,b0830fb4747a6c6d20dea0b8c802d7ef,delivered,6/18/2018 16:02,6/18/2018 17:00,6/19/2018 15:55,6/22/2018 21:18,7/13/2018 00:00
