customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
3f6ede29d4c69cd3316d2035b6cec1fb,7a380cb5434e6b6b5b37d45bb99dbe8a,9890,sao bernardo do campo,SP
1004c05877ddf8196ad1341ca602e628,6ad430c5fac5e72b42f74af4ad7e98f3,5451,sao paulo,SP
4b003ee1eabaffe8ff8e6d75394a9b42,941590fb8aef66b3a8352fe7c691879e,48700,serrinha,BA
d703cdda08125e2b263b92746af0f23c,4669d94e1e35f2493af76862ff85beba,1527,sao paulo,SP
a4a00c41b5e3ed88bf0e0bb96576c2b2,94e89532396b3c02f648b2bc7f93f528,26115,belford roxo,RJ
302025f399c7405c509a297b6b9a1e73,7bf1c59401206e31a78523077f3a1144,6765,taboao da serra,SP
4865bc634919f9ff8358eb16eadba34c,d215654948fc3ce8f8010cc12a8c843e,29057,vitoria,ES
5d8f7d35350a0802b7e4bea9671b132a,589ee29a3decf9bd5cd8492da02efb2e,29155,cariacica,ES
5e4c7fa1c287657de20c8e19c2f959a0,bffe21e5fcf1018f69c5654bb45ec1b6,89110,gaspar,SC
991dfbe50e6444dc9f25c9f8d3562ceb,fe583fa349eada65507f4a724344f5d7,75830,mineiros,GO
7b1189510beea7145ec61234465745ff,9cf09239ed6ade14a7a589a75c3e0706,89650,treze tilias,SC
d1627fd392eb9366792d5e988253b095,794a542461efefc5e9f0aed3254cbba0,29303,cachoeiro de itapemirim,ES
0509cd76cbe3a75f898826c212bb3b83,df92bfc8c606df2f1defedbd0b60a071,6310,carapicuiba,SP
7df3b87f2d42e48d389aee0e1922111b,079ad4f138ec38e726e7d9ac51ae1410,65800,balsas,MA
9bfb255b9b882baed6b515d644f93f45,e69a2237d79485b1bf4c1b4dca757b4c,2440,sao paulo,SP
f8c6dcd56ea35d173392a2ba5bfd6e95,684fda5905aa430123c7b293106a337b,89520,curitibanos,SC
3b6828a50ffe546942b7a473d70ac0fc,ccafc1c3f270410521c3c6f3b249870f,74820,goiania,GO
25a742a013fa668dd2da9b49e7361a48,d84eef527886bcba5d813645e08918d3,40140,salvador,BA
9bd2f246e81c19f65c539ce426288ef5,d46eb9ba6d6b75c1dac85b91911fc9c2,3560,sao paulo,SP
0b8d40b3e4564b081cddd81d7227344c,9c9db9057b02a4a1eb0d79e7caa1120f,4826,sao paulo,SP
c72a2535917c69cffe7135677632702a,fae8e2a6ad5578e55fc3bd34e1616ca2,35680,itauna,MG
1a5f9e24a9605dc54ffd4eec8835be86,7cd82b098982a246bc758a0241267b80,20720,rio de janeiro,RJ
220e4b027f0294fd79d2869ef67e7db6,123ae28184c9e80638e71d40e37adc27,94130,gravatai,RS
078bfceb258f6ee262174cbf251aa763,fc2e9d70ce1e9c19422b859224a9abd9,45530,itacare,BA
ce94567df6da5d7d85640b02953f44bc,1f53ce3e279f1272b2fb964bb2ba25ed,14801,araraquara,SP
7bb3b0d45b4e1a13cd914e4a135e6bd9,286cb34c005540e593bea6045b73bc5a,4115,sao paulo,SP
e78e95c694dc4c2aae6e6975bb58bd48,b7cc980888147c189d96a40756971585,6900,embu-guacu,SP
ba8a4209b5b60ac17ac458fdf1d34ddb,3d83e5ef875fbe2b372eb472a6528146,93224,sapucaia do sul,RS
caafbaf20864b4b9ce101b71a74677e7,8f9d4a5f98697f8b905a7eb0a1352a81,4534,sao paulo,SP
95a001f306dfba60026ad846f37ab045,fdc6af1584f0d901b388b9034a9f6b2a,14500,ituverava,SP
0df5896a6f325a7c16bbe6c4d80eb82f,011b7396d7220ca4ff52508adcb6b870,37561,pouso alegre,MG
bb7651b2df4512e6c29ff35a7b8cd754,e6fa7cc86905b2aa644fcce145e2dc80,2443,sao paulo,SP
3be5a877ceebea2954404c6ef8e70be2,18bbfd7c77ff481bac5ae34fe5b8cc52,78780,alto araguaia,MT
08cfbfce32d6e30b94c84bbd630aafae,131dc8b84d915d899517bd2867f62401,78320,juina,MT
4574518f4c6e0eef440e205139e125d6,b6bb8e4780df00a25fa34335d3dc1330,7093,guarulhos,SP
fac64b6875bc7840442069be52752e14,7d7614482b7a72d2226a280f1d3c180c,15990,matao,SP
25700734456e911ea55a83b37c50de2e,d5578bbdbd75c1f6ddc549e009b5d618,11677,caraguatatuba,SP
51727f845a31b568a4a127475d6b5cc3,82380b485ec5234cdd668f5531791200,4716,sao paulo,SP
33d0814c9eff200629eb49330ce5c6a3,57e2b4ad2d77ceb7034ddaf45564600d,57017,maceio,AL
54a579d5072fb7ae3f433519428f6cdc,e1b383ff6929672be549b1196972fc0d,37810,guaranesia,MG
db6505328f042b7f4fae7d80f3b0515f,2575b93f24ae722702825789254eaa1a,4447,sao paulo,SP
3491062b95387d22e7378f83a9866e69,29d208881a7c8202ddd852afaefbb076,21311,rio de janeiro,RJ
94d33f0fa325a5e1a184a1806f98793e,d681396d784770d6368f2431f65faafe,5187,sao paulo,SP
d9e3358d714896d16cbc712a46559861,3d4ec1f3f781e8244b18998a4cc86212,4302,sao paulo,SP
17ab7e50ec3908dbe699511e92f379b6,a6f5c8508826807c40ac30fcf62c1a49,39860,nanuque,MG
4d8c75952e09254a602a3a059d0ac367,c375736396906dff8414217e02c45661,13050,campinas,SP
5960c2fa7ac05beabd503c2b556f4852,a5e0ad284b56e1ff925d76689048062c,65075,sao luis,MA
c3ca68094375f8b51c8ca056b5a92a7b,2420662d39289d527ba8b94aaab3a281,2533,sao paulo,SP
d57a120a63ef1c58d8704dbf52553318,67c069b1347ff0bfea48b5035a0153da,58280,mamanguape,PB
71d824a92863847504035325c4865f7e,4786095d5d01fa91f67a87184280f6ff,30840,belo horizonte,MG
536b1df32316c329518b521111cf5496,bb706038577b066ad96cf29a29beefec,4843,sao paulo,SP
c5bbfe67cb7212c9e6390fcd598caf85,bc867ebfaaeb874d54cbf1da33fd4a1b,3575,sao paulo,SP
3114d3d76bf813b06638b17da57a21cd,deb341a4b63b6c908a512849319cf207,66087,belem,PA
fec717a689c1907ac43d891a75cca92f,5c9f8b7abc2b49d75a2f6711deada9a1,22260,rio de janeiro,RJ
0a0c2a4fcc642872a37b8454f7c4df86,b03346a8e14bff6e1d669625df319821,76550,porangatu,GO
eba7ed7b49f33dcdb5757243bb1151a2,73d53d2124cce660dc5165c7cce823d7,15092,sao jose do rio preto,SP
1622d70ef3cb92db3316803ecfc7671e,8ee4fb8d09197a94094f4161e1f2dd2c,7175,guarulhos,SP
9801a1119c91032c99a15a846d4f5aa0,4e7da8460a307b63a7a4d98750f3a95a,5735,sao paulo,SP
80db8c7a7ea6b11ca4c65cc2b93a6dc0,aba9ce09a4b04f3e70e16ae18ca1cb1e,22621,rio de janeiro,RJ
9f0ad38f4f1a9d5677c296cfaee107ed,feae353ea73e765c5a5073dad8915449,18085,sorocaba,SP
f327c66b64d68e69e89d4b90680787aa,031e19fc630c4121f1238716f41675c3,5849,sao paulo,SP
10c26a978ab664c211c871097f285a93,8a6ba6b413007e4b09dbc526503cb9d4,37550,pouso alegre,MG
c21e32dc14bf1951f1cde9b3d149f35b,e3473cd317c18ca696e241815aed4de1,50710,recife,PE
282c9df81d9e83eb605bc3804a262266,8819be7d0039db445ba2f771034bb1c4,21221,rio de janeiro,RJ
f8975f0842ae1e4670a410a02b1b5053,83d1d424c386ddd0ee98407d038bcdb2,2185,sao paulo,SP
377e81546d7d92c97c710a231e747c45,cd8dbe8c0f714827ca12c3cb7310d97e,18147,aracariguama,SP
d436bce514752338004b26a232f21008,f4c01ec1c1160a873642b614ebd6d72c,37476,cristina,MG
52f0992e20b8f1c4b113d00df8fd9d93,a81a403c9b43458bb1535fe88d3e40c1,24220,niteroi,RJ
8a2fc75853530d4225f7fba2d836d387,368dd77e48ff41c5a1a9d0c2d942c1eb,13214,jundiai,SP
3f4fc8799a67c8500c491d9822e365fb,883dc2fe8283fed1edf48c2f571d0aca,20550,rio de janeiro,RJ
a7924be36d69088596f4ceb0178adf28,1772c0fbee58b154da028487de51b74c,3687,sao paulo,SP
649ad21522182e99c6923493d5d181ca,a141cad9daad0a5e00543b930e249b48,13611,leme,SP
43f325439491c5fe8bf36e5c6977665d,bba09d4a7b3cb61c4a5ef3f368cd1992,8557,poa,SP
f1eecbba10e1689e4fddaae036b8a85e,e64ab18890c89066fe47f8abbbf180de,44830,piritiba,BA
68c85132eb3b96fbe6cbddc09a568d24,2df79c0c80c225d537833abb01a1a8ca,4216,sao paulo,SP
