order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
e481f51cbdc54678b7cc49136f2d6af7,1,87285b34884572647811a353c7ac498a,3504c0cb71d7fa48d967e0e4c94d59d9,10/6/2017 11:07,29.99,8.72
6514b8ad8028c9f2cc2374ded245783f,1,4520766ec412348b8d4caa5e8a18c464,16090f2ca825584b5a147ab24aa30c86,5/22/2017 13:22,59.99,15.17
e6ce16cb79ec1d90b1da9085a6118aeb,1,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,5/22/2017 19:50,99,30.53
e6ce16cb79ec1d90b1da9085a6118aeb,2,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,5/22/2017 19:50,99,30.53
82566a660a982b15fb86e904c8d32918,1,72a97c271b2e429974398f46b93ae530,094ced053e257ae8cae57205592d6712,6/18/2018 03:13,31.9,18.23
5ff96c15d0b717ac6ad1f3d77225a350,1,10adb53d8faa890ca7c2f0cbcb68d777,1900267e848ceeba8fa32d80c1a5f5a8,7/27/2018 17:55,19.9,12.8
432aaf21d85167c2c86ec9448c4e42cc,1,72d3bf1d3a790f8874096fcf860e3eff,0bae85eb84b9fb3bd773911e89288d54,3/7/2018 15:10,38.25,16.11
85ce859fd6dc634de8d2f1e290444043,1,cce679660c66e6fbd5c8091dfd29e9cd,d2374cbcbb3ca4ab1086534108cc3ab7,11/29/2017 00:14,17.9,11.85
203096f03d82e0dffbc41ebc2e2bcfb7,1,5ac9d9e379c606e36a8094a6046f75dc,633ecdf879b94b5337cca303328e4a25,9/25/2017 04:04,109.9,8.96
95266dbfb7e20354baba07964dac78d5,1,bb7181410b4e02f93f3697f765db53c7,855668e0971d4dfd7bef1b6a4133b41b,1/26/2018 08:07,129.99,57.58
d887b52c6516beb39e8cd44a5f8b60f7,1,39a9942865c056ed2006a5e8c11d9537,ba5daa4041e1f15cdf34b76e3e18a450,2/8/2018 12:50,84.9,15.35
7206b86ea789983f7a273ea7fa0bc2a8,1,9a469eaf45dfbc43d39ba1977a3c07af,d2374cbcbb3ca4ab1086534108cc3ab7,3/30/2018 17:27,36.9,12.79
6ea2f835b4556291ffdc53fa0b3b95e8,1,be021417a6acb56b9b50d3fd2714baa8,f5f46307a4d15880ca14fab4ad9dfc9b,11/30/2017 00:21,339,17.12
948097deef559c742e7ce321e5e58919,1,cd935d283d47f1050c505e1c39c48b67,a3a38f4affed601eb87a97788c949667,8/10/2017 17:25,69.9,25.77
47aa4816b27ba60ec948cd019cc1afc1,1,1501b0033c68a37fa9560033a440e529,33cbbec1e7e1044aaf11d152172c776f,6/29/2018 03:31,53.44,18.47
e425680f760cbc130be3e53a9773c584,1,9ecadb84c81da840dbf3564378b586e9,1025f0e2d44d7041d6cf58b6550e0bfa,9/8/2017 08:30,38.4,11.85
b65a9099b9f6617410e0f5fb0b9e1fdc,1,7e0dc102074f8285580c9777f79c90cf,e26901d5ab434ce92fd9b5c256820a4e,3/20/2017 19:12,34.9,10.96
7ab7584d518d5220c4d8f5245c28181e,1,af51d485dc5255ba2e18b21b550156e6,5dceca129747e92ff8ef7a997dc4f8ca,6/19/2017 04:10,259.9,86.98
c9dbbf55ed1dfc04a2f9339a0887d765,1,0a4ba15b3af571ef5d215be341f90fc3,7142540dd4c91e2237acb7e911c4eba2,4/11/2018 02:27,59.9,23
3ee995f2432d1efdb2369e87acc095d2,1,30b6868bde148b4c71716da3f1cdd9e3,aafe36600ce604f205b86b5084d3d767,5/25/2017 15:10,59.9,15.18
3a55ce70e083a313526038fabb9b626f,1,b2e22c958b453a43a650a579dcac2e43,7e93a43ef30c4f03f38b393420bc753a,10/2/2017 04:14,399.99,18.56
d40956f82498404a78bdefbed0d005b1,1,94475071013412139f862c0bd7e3bb37,955fee9216a65b617aa5c0531780ce60,5/3/2018 22:51,39.99,8.95
d40956f82498404a78bdefbed0d005b1,2,94475071013412139f862c0bd7e3bb37,955fee9216a65b617aa5c0531780ce60,5/3/2018 22:51,39.99,8.95
56a726fa0f40d3678696e62aaed9690d,1,9fe172fa8e662ca8572cf12abf8bce23,cab85505710c7cb9b720bceb52b01cee,1/29/2017 00:46,49.9,10.96
53cdb2fc8bc7dce0b6741e2150273451,1,595fac2a385ac33a80bd5114aec74eb8,289cdb325fb7e7f891c38608bf9e0962,7/30/2018 03:24,118.7,22.76
